中文名稱,英文名稱,,,,
三亞蟎,AMITRAZ,,,,
合賽多,HEXYTHIAZOX,,,,
克芬蟎,CLOFENTEZINE,,,,
芬佈賜,FENBUTATIN-OXIDE,,,,
芬硫克,FENOTHIOCARB,,,,
愛殺松,ETHION,,,,
新殺蟎,BROMOPROPYLATE,,,,
毆蟎多,PROPARGITE,,,,
蟎離丹,CHINOMETHIONAT,,,,
覆滅蟎,FORMETANATE,,,,
畢達本,PYRIDABEN,,,,
芬普蟎,FENPYROXIMATE,,,,
芬殺蟎,FENAZAQUIN,,,,
阿納寧,ACRINATHRIN,,,,
扶吉胺,FLUAZINAM,,,,
畢汰芬,PYRIMIDIFEN,,,,
依殺蟎,ETOXAZOLE,,,,
亞醌蟎,ACEQUINOCYL,,,,
賜派芬,SPIRODICLOFEN,,,,
賽芬蟎,CYFLUMETOFEN,,,,
必芬蟎,BIFENAZATE,,,,
賜滅芬,SPIROMESIFEN,,,,
賽派芬,CYENOPYRAFEN,,,,
三泰芬,TRIADIMEFON,,,,
三泰隆,TRIADIMENOL,,,,
三得芬,TRIDEMORPH,,,,
三賽唑,TRICYCLAZOLE,,,,
大克爛,DICLORAN,,,,
比多農,BITERTANOL,,,,
丙基喜樂松,IPROBENFOS,,,,
四氯異苯腈,CHLOROTHALONIL,,,,
布瑞莫,BUPIRIMATE,,,,
平克座,PENCONAZOLE,,,,
白粉松,PYRAZOPHOS,,,,
多寧,DODINE,,,,
百快隆,PYROQUILON,,,,
佈生,TCMTB,,,,
免克寧,VINCLOZOLIN,,,,
免賴得,BENOMYL,,,,
克枯爛,TECLOFTALAM,,,,
克氯得,(DI)CHLOZOLINATE,,,,
克絕,CYMOXANIL,,,,
貝芬替,CARBENDAZIM,,,,
亞賜圃,ISOPROTHIOLANE,,,,
依得利,ETRIDIAZOLE,,,,
依普同,IPRODIONE,,,,
依滅列,IMAZALIL,,,,
依瑞莫,ETHIRIMOL,,,,
芬普福,FENPROPIMORPH,,,,
芬瑞莫,FENARIMOL,,,,
思得寧,KINUBON,,,,
益發靈,DICHLOFLUANID,,,,
得恩地,THIRAM,,,,
殺紋寧,HYMEXAZOL,,,,
脫克松,TOLCLOFOS-METHYL,,,,
富爾邦,FERBAM,,,,
普克利,PROPICONAZOLE,,,,
腈硫醌,DITHIANON,,,,
滅速克,METHASULFOCARB,,,,
滅普寧,MEPRONIL,,,,
滅達樂,METALAXYL,,,,
達克利,DINICONAZOLE-M,,,,
嘉保信,OXYCARBOXIN,,,,
福多寧,FLUTOLANIL,,,,
福賽得,FOSETYL-AL,,,,
腐絕,THIABENDAZOLE,,,,
蓋普丹,CAPTAN,,,,
賓克隆,PENCYCURON,,,,
撲克拉,PROCHLORAZ,,,,
撲殺熱,PROBENAZOLE,,,,
撲滅寧,PROCYMIDONE,,,,
毆殺斯,OXADIXYL,,,,
賽福座,TRIFLUMIZOLE,,,,
賽福寧,TRIFORINE,,,,
邁克尼,MYCLOBUTANIL,,,,
邁隆,DAZOMET,,,,
護粒松,EDIFENPHOS,,,,
菲克利,HEXACONAZOLE,,,,
比芬諾,PYRIFENOX,,,,
尼瑞莫,NUARIMOL,,,,
待克利,DIFENOCONAZOLE,,,,
本達樂,BENALAXYL,,,,
得克利,TEBUCONAZOLE,,,,
富米綜,FERIMZONE,,,,
達滅淨,DICLOMEZINE,,,,
環克座,CYPROCONAZOLE,,,,
溴克座,BROMUCONAZOLE,,,,
達滅芬,DIMETHOMORPH,,,,
依普座,EPOXICONAZOLE,,,,
賽普洛,CYPRODINIL,,,,
易胺座,IMIBENCONAZOLE,,,,
克收欣,KRESOXIM-METHYL,,,,
護汰寧,FLUDIOXONIL,,,,
亞托敏,AZOXYSTROBIN,,,,
披扶座,PEFURAZOATE,,,,
四克利,TETRACONAZOLE,,,,
加普胺,CARPROPAMID,,,,
護汰芬,FLUTRIAFOL,,,,
右滅達樂,METALAXYL-M,,,,
氟硫滅,FLUSULFAMIDE,,,,
滅派林,MEPANIPYRIM,,,,
芬克座,FENBUCONAZOLE,,,,
派美尼,PYRIMETHANIL,,,,
福拉比,FURAMETPYR,,,,
歐索林酸,OXOLINIC ACID,,,,
三氟敏,TRIFLOXYSTROBIN,,,,
甲基益發靈,TOLYLFLUANID,,,,
快諾芬,QUINOXYFEN,,,,
賽座滅,CYAZOFAMID,,,,
百克敏,PYRACLOSTROBIN,,,,
二氟林,DIFLUMETORIM,,,,
賽氟滅,THIFLUZAMIDE,,,,
白克列,BOSCALID,,,,
滅特座,METCONAZOLE,,,,
凡殺同,FAMOXADONE,,,,
氟比來,FLUOPICOLIDE,,,,
滅芬農,METRAFENONE,,,,
安美速,AMISULBROM,,,,
座賽胺,ZOXAMIDE,,,,
曼普胺,MANDIPROPAMID,,,,
賽芬胺,CYFLUFENAMID,,,,
亞汰尼,ISOTIANIL,,,,
芬諾尼,FENOXANIL,,,,
滅脫定,AMETOCTRADIN,,,,
平氟芬,PENFLUFEN,,,,
氟克殺,FLUXAPYROXAD,,,,
亞派占,ISOPYRAZAM,,,,
氟派瑞,FLUOPYRAM,,,,
普快淨,PROQUINAZID,,,,
平硫瑞,PENTHIOPYRAD,,,,
派滅芬,PYDIFLUMETOFEN,,,,
派本克,PYRIBENCARB,,,,
滅芬座,MEFENTRIFLUCONAZOLE,,,,
歐西比,OXATHIAPIPROLIN,,,,
派芬農,PYRIOFENONE,,,,
